ladefense,Building,longitude,latitude,Location,Surface area(m²),Offices(m²),Shops(m²),height,function,Delivery,zone,node
,Basalte,48.891284,2.231167,Boulevard des Bouvets - 92800 Puteaux,43200,,,54,Office,2013,Boulevard des Bouvets,arche sud
,Granite,48.891665,2.228621,Boulevard des Bouvets - 92800 Puteaux,67740,,,184,Office,2008,Boulevard des Bouvets,arche sud
,Les Villages de l'Arche,48.892858,2.230575,Cours Valmy - 92800 Puteaux,84000,,,40,Office,1994,Cours Valmy,arche sud
,Societe Generale,48.892169,2.229875,"17/18, Cours Valmy - 92 800 Puteaux",126000,,,167,Office,1995,Cours Valmy,arche sud
,Kupka A,48.89088,2.233066,"14-18, rue Hoche - 92800 Puteaux",55000,,,50,Office,1992,rue Hoche,arche sud
,Le Guillaumet,48.888049,2.233315,"60,Avenue du Général de Gaulle, 92800 Puteaux,",,,,188,Office,1999,Avenue du Général de Gaulle,arche sud
,Atlantique,48.889547,2.241812,"1, place de la Pyramide - 92 800 Puteaux",26000,,,90,Office,1970,place de la Pyramide,esplande sud
,Opus 12,48.889815,2.242573,"77, Esplanade du Général-de-Gaulle - 92800 Puteaux",34000,,,106,Office,1999,Esplanade du Général-de-Gaulle,esplande sud
,Eve,48.88785,2.2414,"1, Place du Sud - 92800 Puteaux",7000,,,109,Office,1974,Place du Sud,esplande sud
,ILE-DE-FRANCE,48.888705,2.242247,"4,Place de la Pyramide, 92800 Puteaux",22510,,,188,Office,1999,Place de la Pyramide,esplande sud
,Ariane,48.88935,2.24344,"5, place de la pyramide - 92800 Puteaux",63000,,,134,Office,1975,place de la pyramide,esplande sud
,Platanes,48.88901,2.244573,"55-63, voie des Sculpteurs - 92800 Puteaux",,,,44,Residence,1983,voie des Sculpteurs,esplande sud
,Majunga,48.888882,2.243226,rue Delarivière Lefoullon - 92800 Puteaux,69500,,,195,Office,2014,rue Delarivière Lefoullon,esplande sud
,Gallieni,48.88829,2.24333,14，Rue Delarivière Lefoullon - 92800 Puteaux,,,,50,Residence,1999,Rue Delarivière Lefoullon,esplande sud
,Defense Plaza,48.887683,2.244125,23-27，Rue Delarivière Lefoullon - 92800 Puteaux,31100,,,54,Office,2004,Rue Delarivière Lefoullon,esplande sud
,Linea,48.8871,2.243413,"1, Rue du Général Leclerc - 92800 Puteaux","15,200",,,23,Office,1988,Rue du Général Leclerc,esplande sud
,Diamant,48.886817,2.243509,"14,Rue de la République - 92800 Puteaux",19960,,,35,Office,1991,Rue de la République,esplande sud
,Le Michelet - Gan Groupama,48.88738,2.2478,"4-6,cours Michelet - 92 800 Puteaux",26600,,,37,Residence,1985,cours Michelet,esplande sud
,PB20 - PB21,48.887686,2.246494,"10-12,cours Michelet - 92800 Puteaux",29500,,,27,Office,1986,cours Michelet,esplande sud
,Michelet Galilee,48.888673,2.246548,"51,cours Michelet - 92800 Puteaux",34000,,,30,Office,1986,cours Michelet,esplande sud
,Total Michelet,48.888427,2.244919,"24,Cours Michelet - 92800 Puteaux",77750,,,120,Office,1985,Cours Michelet,esplande sud
,Allianz Acacia,48.88805,2.24839,"13,esplanade du Général de Gaulle - 92800 Puteaux",30700,,,34,Office,1985,esplanade du Général de Gaulle,esplande sud
,Sofitel Defense,48.888289,2.247445,"33,Voie des Sculpteurs - 92800 Puteaux",,,,34,Hotel,1985,Voie des Sculpteurs,esplande sud
,Allianz One,48.88761,2.24928,"1,cours Michelet - 92800 Puteaux",38000,,,85,Office,2015,cours Michelet,esplande sud
,Galion,48.886632,2.246022,"16-18,Rue Paul-Lafargue - 92800 Puteaux",9800,,,30,Office,1982,Rue Paul-Lafargue,esplande sud
,Minerve,48.886398,2.246809,"3 - 35,rue de la république - 92800 Puteaux",,,,55,Residence,1984,rue de la république,esplande sud
,Initiale,48.88704,2.25153,"1,Terrasse Bellini - 92800 Puteaux",34300,,,105,Office,2003,Terrasse Bellini,esplande sud
,Bellini,48.886557,2.25073,"1-3,rue Bellini - 92800 Puteaux",,,,56,Residence,1957,rue Bellini,esplande sud
,CNIT,48.89276,2.23934,"2,parvis de La Défense - 92800 Puteaux",200000,,,50,Shop,1989,parvis de La Défense,arche nord
,Collines de l'Arche,48.89346,2.23653,"76,route de la Demi-Lune - 92400 Courbevoie",70000,,,25,Office,1991,route de la Demi-Lune,arche nord
